n_embd,n_layer,n_params,train_loss_final,train_wall_s,forge_score,forge_delta_vs_random,forge_wall_s,probe_mean_residual_auc,probe_median_residual_auc,probe_pct_residual_ge_0.9,probe_pct_residual_ge_0.92,probe_spotlight_median_auc,probe_spotlight_n_ge_0.92,probe_n_features_measured,probe_color_r_auc,probe_color_b_auc,probe_color_g_auc,probe_flavor_mu_auc,probe_wall_s
61,6,278526,1.7288,30.8,0.7548897907158431,0.023870254643840405,13.0,0.9146,0.9291,0.5946,0.5405,0.8588,0,74,0.8769354799433662,0.806227240237169,0.8588185618524008,0.8152296804991416,23.8
61,8,369416,1.798,35.1,0.7374938431180182,0.006474307046015593,12.9,0.915,0.9341,0.6081,0.5541,0.8396,0,74,0.8281614723388565,0.8352368973642069,0.8769819995024196,0.8295264458201741,24.1
61,10,460306,1.7298,43.6,0.7292138630099625,-0.0018056730620401584,13.1,0.9141,0.9367,0.5946,0.5541,0.8256,0,74,0.7873802881086478,0.7972795546452393,0.8121414880458055,0.8251043000491471,25.2
61,12,551196,1.7965,57.4,0.7163417264712179,-0.014677809600784797,13.8,0.9108,0.9317,0.6081,0.5405,0.8168,0,74,0.7062179739164618,0.7955664805384277,0.8168308331668892,0.8059986027209475,26.4
