n_embd,n_layer,n_trajectories,epochs,lr,n_params,n_train_steps,train_loss_final,train_wall_s,forge_score,forge_delta_vs_random,forge_wall_s,probe_mean_residual_auc,probe_median_residual_auc,probe_pct_residual_ge_0.9,probe_pct_residual_ge_0.92,probe_spotlight_median_auc,probe_spotlight_n_ge_0.92,probe_n_features_measured,probe_color_r_auc,probe_color_b_auc,probe_color_g_auc,probe_flavor_mu_auc,probe_wall_s
61,6,2000,5,0.005,278526,500,1.7288,49.9,0.7548897907158431,0.023870254643840405,20.6,0.9146,0.9288,0.5946,0.5405,0.8588,0,74,0.8768798202190905,0.8063901358264369,0.8588062975460875,0.8153387740529248,47.4
61,6,2000,20,0.005,278526,2000,2.1109,203.2,0.7288958267170712,-0.0021237093549314467,23.1,0.9108,0.9258,0.5946,0.5135,0.8271,0,74,0.8136042802327969,0.7515779953872954,0.8135439990749208,0.8007555004088254,46.8
61,6,2000,40,0.005,278526,4000,1.4559,295.4,0.7304191301183863,-0.0006004059536163231,16.9,0.9104,0.9188,0.5946,0.4865,0.8273,0,74,0.7790830756172141,0.8141076481704511,0.8056746945311706,0.8273071082714953,42.9
61,6,5000,20,0.005,278526,4960,0.9836,576.4,0.7431907413662425,0.012171205294239873,28.7,0.9084,0.9222,0.5946,0.5135,0.8235,0,74,0.7961666973954727,0.8262055386280631,0.7930599794660471,0.8085353033351772,73.0
